X,Y,Yaw,Timestamp
2.33465,0.250724,-0.165383,6.26
2.34317,0.249301,-0.165383,6.28
2.3517,0.247879,-0.165383,6.3
2.36028,0.246886,-0.1125,6.32
2.36886,0.245851,-0.1203,6.34
2.37742,0.244702,-0.135582,6.36
2.38598,0.243534,-0.135582,6.38
2.39456,0.242515,-0.118905,6.4
2.40314,0.241487,-0.119624,6.42
2.41172,0.240502,-0.111691,6.44
2.4203,0.239487,-0.120342,6.46
2.42888,0.238502,-0.116206,6.48
2.43747,0.237571,-0.107471,6.5
2.44606,0.236644,-0.107471,6.52
2.45463,0.235542,-0.130992,6.54
2.4632,0.234414,-0.130992,6.56
2.47179,0.233514,-0.0858598,6.58
2.4804,0.232773,-0.0858598,6.6
2.48899,0.231859,-0.117626,6.62
2.49756,0.230784,-0.130975,6.64
2.50613,0.229656,-0.130975,6.66
2.51466,0.228319,-0.155926,6.68
2.5232,0.226977,-0.155926,6.7
2.53166,0.225254,-0.220221,6.72
2.54007,0.223281,-0.241316,6.74
2.54848,0.2213,-0.216096,6.76
2.55692,0.219448,-0.216096,6.78
2.56539,0.217748,-0.176417,6.8
2.57388,0.216163,-0.185426,6.82
2.58237,0.214531,-0.195952,6.84
2.59084,0.212849,-0.195952,6.86
2.59934,0.211273,-0.178202,6.88
2.60781,0.209568,-0.201665,6.9
2.61627,0.207822,-0.205191,6.92
2.62472,0.206039,-0.208072,6.94
2.63316,0.20419,-0.228856,6.96
2.64158,0.202233,-0.228432,6.98
2.64998,0.200219,-0.236716,7
2.65838,0.198193,-0.236716,7.02
2.66683,0.196411,-0.205281,7.04
2.67529,0.194648,-0.205649,7.06
2.68375,0.19289,-0.204161,7.08
2.69221,0.191138,-0.204161,7.1
2.70073,0.189718,-0.163436,7.12
2.70926,0.188317,-0.162745,7.14
2.71778,0.186917,-0.162745,7.16
2.72633,0.18566,-0.144004,7.18
2.73488,0.184419,-0.144803,7.2
2.74343,0.18316,-0.146807,7.22
2.75199,0.181986,-0.13153,7.24
2.76056,0.180853,-0.13153,7.26
2.76913,0.179821,-0.114335,7.28
2.77772,0.178835,-0.114335,7.3
2.7863,0.17784,-0.121152,7.32
2.79488,0.176796,-0.121152,7.34
2.80346,0.175843,-0.0863787,7.36
2.81207,0.175053,-0.105392,7.38
2.82066,0.174144,-0.105392,7.4
2.82926,0.17331,-0.0695015,7.42
2.83788,0.17271,-0.0695015,7.44
2.84649,0.172103,-0.0707497,7.46
2.85511,0.171492,-0.0707497,7.48
2.86371,0.170654,-0.106968,7.5
2.8723,0.169731,-0.106968,7.52
2.8809,0.16889,-0.0848676,7.54
2.88951,0.168158,-0.0848676,7.56
2.89812,0.167498,-0.0595932,7.58
2.90675,0.16698,-0.0588235,7.6
2.91537,0.166427,-0.0700683,7.62
2.92399,0.165822,-0.0700683,7.64
2.9326,0.165104,-0.0991369,7.66
2.9412,0.164249,-0.0991369,7.68
2.9498,0.163492,-0.0765318,7.7
2.95842,0.16285,-0.071876,7.72
2.96704,0.16223,-0.0662307,7.74
2.97566,0.161659,-0.0662307,7.76
2.98428,0.161087,-0.0662307,7.78
2.99285,0.160027,-0.125085,7.8
3.00143,0.158985,-0.109673,7.82
3.01002,0.15804,-0.109673,7.84
3.0186,0.157076,-0.118371,7.86
3.02719,0.156086,-0.11412,7.88
3.03576,0.155,-0.134464,7.9
3.04432,0.153813,-0.140032,7.92
3.05287,0.152607,-0.140032,7.94
3.06143,0.151462,-0.111401,7.96
3.07002,0.15049,-0.112784,7.98
3.07859,0.149426,-0.127829,8
3.08717,0.148343,-0.106588,8.02
3.09576,0.147423,-0.106588,8.04
3.10434,0.146461,-0.114906,8.06
3.11293,0.145471,-0.114906,8.08
3.12151,0.144474,-0.115362,8.1
3.13009,0.143479,-0.115362,8.12
3.13867,0.142485,-0.115362,8.14
3.14729,0.141898,-0.0574318,8.16
3.15592,0.141411,-0.0432042,8.18
3.16455,0.141038,-0.0432042,8.2
3.17318,0.140716,-0.0309597,8.22
3.18182,0.140472,-0.0259461,8.24
3.19046,0.140248,-0.0259461,8.26
3.19909,0.140095,0.0190208,8.28
3.20809,0.140237,0.00860634,8.3
3.21781,0.140321,0.00860634,8.32
3.22825,0.140368,0.0012995,8.34
3.23941,0.140374,-0.00826427,8.36
3.25129,0.140276,-0.00826427,8.38
3.26389,0.140147,-0.0111923,8.4
3.2772,0.139789,-0.0580597,8.42
3.29121,0.138846,-0.110055,8.44
3.3059,0.137397,-0.0900337,8.46
3.32131,0.135917,-0.0999575,8.48
3.33742,0.134285,-0.104939,8.5
3.35425,0.132506,-0.105416,8.52
3.37179,0.130626,-0.100628,8.54
